,0
0,japanese_spaniel
1,samoyed
2,english_setter
3,pug
4,tibetan_terrier
5,otterhound
6,australian_terrier
7,samoyed
8,scottish_deerhound
9,sussex_spaniel
10,tibetan_terrier
11,sealyham_terrier
12,newfoundland
13,dhole
14,beagle
15,leonberg
16,toy_terrier
17,kerry_blue_terrier
18,irish_terrier
19,saluki
20,cairn
21,siberian_husky
22,mexican_hairless
23,great_pyrenees
24,irish_setter
25,groenendael
26,bloodhound
27,whippet
28,english_setter
29,airedale
30,german_shepherd
31,great_pyrenees
32,clumber
33,french_bulldog
34,english_springer
35,collie
36,japanese_spaniel
37,affenpinscher
38,saint_bernard
39,great_pyrenees
40,standard_poodle
41,scottish_deerhound
42,brabancon_griffon
43,lakeland_terrier
44,border_collie
45,bernese_mountain_dog
46,blenheim_spaniel
47,papillon
48,toy_terrier
49,flat-coated_retriever
50,beagle
51,silky_terrier
52,malamute
53,blenheim_spaniel
54,vizsla
55,french_bulldog
56,weimaraner
57,black-and-tan_coonhound
58,irish_terrier
59,great_dane
60,basenji
61,eskimo_dog
62,irish_terrier
63,black-and-tan_coonhound
64,papillon
65,chihuahua
66,american_staffordshire_terrier
67,bull_mastiff
68,maltese_dog
69,flat-coated_retriever
70,affenpinscher
71,kuvasz
72,walker_hound
73,blenheim_spaniel
74,west_highland_white_terrier
75,entlebucher
76,french_bulldog
77,bedlington_terrier
78,sussex_spaniel
79,greater_swiss_mountain_dog
80,walker_hound
81,newfoundland
82,siberian_husky
83,scottish_deerhound
84,vizsla
85,weimaraner
86,brabancon_griffon
87,siberian_husky
88,walker_hound
89,cairn
90,samoyed
91,norwich_terrier
92,pug
93,cocker_spaniel
94,black-and-tan_coonhound
95,affenpinscher
96,miniature_pinscher
97,newfoundland
98,african_hunting_dog
99,border_terrier
100,bouvier_des_flandres
101,bluetick
102,lakeland_terrier
103,italian_greyhound
104,cardigan
105,ibizan_hound
106,french_bulldog
107,komondor
108,leonberg
109,silky_terrier
110,english_springer
111,border_collie
112,entlebucher
113,african_hunting_dog
114,basset
115,saint_bernard
116,dingo
117,dandie_dinmont
118,newfoundland
119,pug
120,shih-tzu
121,leonberg
122,bloodhound
123,lhasa
124,saluki
125,whippet
126,redbone
127,toy_terrier
128,borzoi
129,bull_mastiff
130,lakeland_terrier
131,samoyed
132,samoyed
133,basenji
134,groenendael
135,kerry_blue_terrier
136,pembroke
137,affenpinscher
138,wire-haired_fox_terrier
139,english_foxhound
140,maltese_dog
141,dhole
142,papillon
143,italian_greyhound
144,norfolk_terrier
145,irish_setter
146,scottish_deerhound
147,dingo
148,sealyham_terrier
149,rhodesian_ridgeback
150,bouvier_des_flandres
151,bluetick
152,french_bulldog
153,yorkshire_terrier
154,samoyed
155,rottweiler
156,cairn
